image_name,class,shape_hu_feat_0,shape_hu_feat_1,shape_hu_feat_2,shape_hu_feat_3,shape_hu_feat_4,shape_hu_feat_5,shape_hu_feat_6
image_0000,OM5,2.8305833902541013,7.827525503125591,7.99997403226358,7.998744477167764,-7.9999999999999964,-7.99999993706908,7.9999999999999964
image_0001,OM5,2.8665564823323035,7.870449507671628,7.999984600010461,7.998750901825979,-7.999999999999998,-7.999999935320298,-7.9999999999999964
image_0002,OM5,2.8877854300869297,7.942150205843058,7.999902959145416,7.998617019740094,-7.999999999999989,-7.999999948118388,7.999999999999995
image_0003,OM5,2.9146549384874914,7.907809752154199,7.999980688399802,7.999424452984083,-8.0,-7.9999999785830616,-7.999999999999998
image_0004,OM5,2.892550054844992,7.871623451942306,7.999780735148806,7.997861950428402,-7.99999999999997,-7.999999875962482,7.999999999999985
image_0005,OM5,2.895567830367957,7.965042105720229,7.999890320058635,7.998632740584295,-7.999999999999989,-7.999999967484574,7.999999999999995
image_0006,OM5,2.8514404298902276,7.950898091126704,7.999837713167515,7.999299851727826,7.999999999999997,7.999999980164297,7.999999999999996
image_0007,OM5,2.8242361973197863,7.824333314247137,7.9999353869233625,7.99840233016187,-7.999999999999991,-7.999999891154776,7.999999999999993
image_0008,OM5,2.916727650460314,7.961135572918713,7.999991430801029,7.999907095949595,8.0,7.999999997881834,8.0
image_0009,OM5,2.8552776306274317,7.975940783976292,7.9997724920539905,7.998841460030494,7.999999999999995,-7.9999999971912334,7.999999999999988
image_0010,OM5,2.905090591087217,7.886179713516572,7.999976925714468,7.999384116983818,-8.0,-7.999999968387432,-7.999999999999998
image_0011,OM5,2.8439124324675054,7.992112094666276,7.999870822223694,7.999263138314149,7.999999999999997,7.999999995520206,-7.999999999999996
image_0012,OM5,2.831297433579759,7.93533823491696,7.999932038702895,7.998725488673992,-7.999999999999993,-7.999999949671556,7.999999999999995
image_0013,OM5,2.8572915291167007,7.8066712666946545,7.999799889339295,7.999336463183425,7.999999999999997,7.999999962357906,7.999999999999996
image_0014,OM5,2.8741147085317964,7.788174410036678,7.999959767310907,7.998260884465991,-7.999999999999994,-7.999999877626414,-7.999999999999991
image_0015,OM5,2.916727650460314,7.961135572918713,7.999991430801029,7.999907095949595,8.0,7.999999997881834,8.0
image_0016,OM5,2.915186869797135,7.959760365483207,7.99999213019384,7.999905076555523,8.0,7.999999997814449,-8.0
image_0017,OM5,2.910970420938007,7.782787745659389,7.99995588766469,7.999046732153068,-7.999999999999999,-7.999999926778418,-7.999999999999996
image_0018,OM5,2.913537853742909,7.920404995675479,7.999957392537196,7.999575053411587,-8.0,7.999999991822878,7.999999999999999
image_0019,OM5,2.9068796350609594,7.888117230704456,7.999977781580753,7.999391910490415,-8.0,-7.9999999691195445,-7.999999999999998
image_0020,OM5,2.844024866076759,7.991837240868588,7.999870878976585,7.999263017949125,7.999999999999997,7.99999999545518,7.999999999999996
image_0021,OM5,2.8662853927104512,7.869867229913479,7.999983365894295,7.9987371332424475,-7.999999999999998,-7.999999934213664,-7.9999999999999964
image_0022,OM5,2.8703050653048745,7.985408030841161,7.999973395684226,7.999424728016032,-7.999999999999998,-7.999999989418058,7.999999999999999
image_0023,OM5,2.9075558518044424,7.975142163037862,7.999959805324261,7.999592532073523,-8.0,-7.999999997338323,7.999999999999999
image_0024,OM5,2.904996452005113,7.885705615373689,7.999975422302819,7.999382889086042,-8.0,-7.99999996821113,-7.999999999999998
image_0025,OM5,2.7133684246594183,7.877747251828265,7.999670924352341,7.995337982936553,-7.999999999999879,-7.999999734108262,7.999999999999941
image_0026,OM5,2.8508607736688134,7.893275043602476,7.9998571480708645,7.99927200033636,7.9999999999999964,7.999999984421456,7.999999999999996
image_0027,OM5,2.837124423963561,7.993460873498896,7.9999033316109145,7.999412656092797,7.999999999999998,7.9999999962633295,7.999999999999997
image_0028,OM5,3.0104986683902024,7.928046169156576,7.999986950957388,7.999766171390311,-8.0,-7.999999990759323,-8.0
image_0029,OM5,2.916727650460314,7.961135572918713,7.999991430801029,7.999907095949595,8.0,7.999999997881834,8.0
image_0030,OM5,2.843352632008395,7.987553362488815,7.999885938609317,7.99929637919558,7.999999999999998,7.999999999116553,7.999999999999996
image_0031,OM5,2.830496949480902,7.829775951121028,7.999973150633161,7.998739035466133,-7.999999999999996,-7.999999936843112,7.9999999999999964
image_0032,OM5,2.868486820029847,7.871223069075665,7.999983658546721,7.998776068481489,-7.999999999999998,-7.9999999369652075,-7.9999999999999964
image_0033,OM5,2.8514404298902276,7.950898091126704,7.999837713167515,7.999299851727826,7.999999999999997,7.999999980164297,7.999999999999996
image_0034,OM5,2.8670267806596152,7.865995825496761,7.9999706934778825,7.999191568608019,-7.999999999999999,-7.999999954543881,-7.999999999999997
image_0035,OM5,2.825564137904044,7.864962284404684,7.999958377658949,7.998730139789522,-7.999999999999995,-7.999999925942554,7.999999999999996
image_0036,OM5,2.916727650460314,7.961135572918713,7.999991430801029,7.999907095949595,8.0,7.999999997881834,8.0
image_0037,OM5,2.9046069315812133,7.978273278034763,7.999964389351634,7.999634868440682,-8.0,-7.999999997897583,7.999999999999999
image_0038,OM5,2.904927391754121,7.885299587927981,7.999975242762192,7.999381990404414,-8.0,-7.999999968034654,-7.999999999999998
image_0039,OM5,2.914306507382905,7.9062904102617155,7.999977236805695,7.999416144911651,-7.999999999999999,-7.9999999724184345,7.999999999999999
image_0040,OM5,2.7682706444966927,7.831055666619639,7.9999376796960355,7.998091588203737,-7.9999999999999885,-7.999999873003705,7.99999999999999
image_0041,OM5,2.903894668304575,7.9734262215195155,7.999956369328787,7.999594617391237,-8.0,-7.9999999971670634,7.999999999999999
image_0042,OM5,2.833908892676175,7.994277394276243,7.999921607359138,7.999515913037116,7.999999999999999,7.999999996843778,7.999999999999998
image_0043,OM5,2.8217653962453677,7.861884338419773,7.999960229942687,7.9987074711862585,-7.999999999999995,-7.999999923578415,7.999999999999996
