image_name,class,texture_blk_feat_0,texture_blk_feat_1,texture_blk_feat_2,texture_blk_feat_3,texture_blk_feat_4,texture_blk_feat_5,texture_blk_feat_6,texture_blk_feat_7,texture_blk_feat_8,texture_blk_feat_9,texture_blk_feat_10,texture_blk_feat_11,texture_blk_feat_12,texture_blk_feat_13,texture_blk_feat_14,texture_blk_feat_15,texture_blk_feat_16,texture_blk_feat_17,texture_blk_feat_18,texture_blk_feat_19,texture_blk_feat_20,texture_blk_feat_21,texture_blk_feat_22,texture_blk_feat_23,texture_blk_feat_24,texture_blk_feat_25,texture_blk_feat_26,texture_blk_feat_27,texture_blk_feat_28,texture_blk_feat_29,texture_blk_feat_30,texture_blk_feat_31
image_0000,OM5,99.51525,118.686935,121.3619,113.27175,112.31296,147.69012,136.36316,112.72476,101.721565,91.413666,95.30004,99.051315,91.38726,74.72486,69.03448,83.7551,42.2004,11.252983,21.72208,35.772507,27.101265,31.121489,35.217747,18.358929,11.418952,13.31218,7.7391543,22.658104,32.74792,22.222263,16.17511,37.04814
image_0001,OM5,119.708374,130.13344,127.75733,115.14526,126.584015,169.76666,152.92928,108.47569,123.75583,126.557465,96.44243,88.19537,100.43637,74.597404,67.2448,92.608215,10.602141,16.047905,16.29915,9.747931,16.934746,26.57027,26.522629,14.291742,19.400719,34.847504,13.538697,13.902672,15.070553,19.402487,19.497671,21.631054
image_0002,OM5,121.43723,148.54947,138.57901,116.59276,117.68579,178.75128,170.37402,119.98964,110.040184,119.87842,106.54483,105.54751,110.75261,70.93431,71.715744,98.3637,16.729324,22.31128,20.436508,7.4914746,27.968195,22.833036,26.95021,13.76455,11.377773,26.158796,22.122587,10.629183,11.000831,16.717537,15.684787,16.370996
image_0003,OM5,88.51619,73.13771,79.01915,90.674194,103.01391,118.88774,145.3919,118.67659,112.65069,181.29355,168.2738,136.3506,105.54562,136.92728,129.64345,119.26425,35.027843,28.68681,22.325632,40.34004,14.24504,20.686863,33.454216,29.045374,27.379343,25.817753,25.060762,22.445024,43.82824,12.616097,25.67589,42.900555
image_0004,OM5,121.390205,154.62769,142.53075,115.26352,115.9675,191.59319,180.5906,119.41255,106.522835,118.11699,101.216606,100.40319,107.473526,56.285446,56.111576,90.610504,20.845816,26.748718,24.948109,10.068881,35.728985,27.533846,33.17193,18.077126,15.522691,32.548275,27.87562,14.263251,14.863374,20.984901,19.746708,22.105711
image_0005,OM5,84.557556,66.1067,76.88997,95.37738,103.04521,104.86711,121.46828,104.63536,112.929474,166.36191,182.24945,123.01213,97.98416,135.36542,145.44815,112.69618,31.200441,17.730879,17.836065,40.152863,10.797937,21.991306,26.80233,24.775356,26.747314,27.017887,21.034391,29.149885,41.01024,19.312843,31.18457,39.493446
image_0006,OM5,74.64813,82.20909,87.704666,80.02209,82.79912,111.53382,116.69528,87.98224,98.95743,142.31253,148.01544,105.34061,86.58475,124.81004,120.44981,111.0146,26.12557,25.465094,16.782127,35.86849,7.761122,19.718935,22.780378,21.935606,26.323116,48.273926,33.134323,31.71784,39.079826,23.43082,27.293713,43.7608
image_0007,OM5,119.25773,118.91554,128.05643,125.099655,119.500084,153.1071,134.88725,108.71597,102.89629,90.8277,91.8768,102.97664,104.03845,76.20695,61.733936,94.30774,5.427959,14.446316,11.512333,8.453372,15.256693,33.73691,37.857883,21.1509,14.002321,16.636969,9.428227,8.487011,17.852266,20.982042,20.44045,17.12031
image_0008,OM5,133.79843,143.84634,120.41438,139.8687,133.18318,170.15219,134.84203,128.44577,123.35948,158.46188,142.48846,126.66965,112.657486,104.050026,113.400635,128.44527,10.471666,14.879578,21.101286,15.430083,14.690958,22.252964,34.127644,26.891464,26.017801,20.90222,22.56174,8.467674,21.003456,23.702772,15.327838,7.4706926
image_0009,OM5,122.87264,133.03873,129.58736,108.255936,99.266655,157.91245,154.31288,108.47041,90.935394,120.10997,110.81674,75.25674,95.65749,79.80243,75.48337,79.74457,34.065063,27.416384,29.916435,17.488247,36.1833,40.941822,61.581852,21.696457,13.343773,30.903542,29.211773,11.592626,11.249121,25.07831,27.04925,19.63158
